Fecha_publicacion,username,Texto_tuit,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
Wed Nov 11 17:50:57 +0000 2020,molanomx,"La movilidad sustentable, moderna y segura es un distintivo importante  de ciudades con calidad de vida. ¡Todo es posible!  #NoBajesLaGuardia https://t.co/k5vlLmzzZ8",Carlos Molano,"Tuxtla Gutiérrez, Chiapas",Presidente Municipal de Tuxtla Gutiérrez. 2018,1723,True ,Va Por Mexico,CHIAPAS,CARLOS MOLANO ROBLES,51
Sat May 22 21:22:17 +0000 2021,javierperezmc,"Las malas decisiones están acabando con nuestro futuro, necesitamos más espacios verdes y cuidar la #naturaleza🍊 ¡Más #árboles y menos cemento! Estuve en jornada de reforestación en Tierra Colorada. ¡Menos palabras y más acciones! https://t.co/MsRKlxbmGd",Javier Pérez Ramírez,"Tabasco, México",Lic. en Ciencias Políticas y Admon. Pública. Universidad de Monterrey (UDEM). Ex candidato a Diputado Federal IV Distrito. Tabasqueño,617,True ,Movimiento Ciudadano,TABASCO,JAVIER ALEJANDRO PEREZ RAMIREZ,36
Thu Apr 29 17:24:26 +0000 2021,javierperezmc,"Un gusto platicar con @emiliovazquez_ y @karla_garciat1 activista que representa a #Tabasco en la iniciativa de @escazuahora_mx.  Compartimos ideas, escuchamos y debatimos sobre el cambio climático, el desarrollo sostenible y la conservación regional del #MedioAmbiente🍊 https://t.co/s5Otx2Y8zf",Javier Pérez Ramírez,"Tabasco, México",Lic. en Ciencias Políticas y Admon. Pública. Universidad de Monterrey (UDEM). Ex candidato a Diputado Federal IV Distrito. Tabasqueño,617,True ,Movimiento Ciudadano,TABASCO,JAVIER ALEJANDRO PEREZ RAMIREZ,36
Sat Jun 15 15:47:43 +0000 2019,dulcero_ovando,"El Tren Maya es un proyecto importante para #Chiapas y México, conocer de cerca su impacto en desarrollo económico, ambiental y cultural es tarea de todas y todos, con este objetivo, asistí en #Palenque, Chiapas al Foro Legislativo Académico de la Frontera Sur. #DulceRodríguez https://t.co/0G57hmBTLx",Dulce Rodríguez Ovando,"Pichucalco, Chiapas",,840,True ,Partido Verde Ecologista De México,CHIAPAS,DULCE MARIA RODRIGUEZ OVANDO,46
Sat Nov 10 02:56:36 +0000 2018,dulcero_ovando,"El día de hoy tuve el honor de asistir a la Primera Jornada Nacional de Derechos Humanos, acciones que impulsan los Objetivos de Desarrollo Sostenible 2030, que organizó el Instituto de... https://t.co/9P5kY3k9Zg",Dulce Rodríguez Ovando,"Pichucalco, Chiapas",,840,True ,Partido Verde Ecologista De México,CHIAPAS,DULCE MARIA RODRIGUEZ OVANDO,46
Wed Nov 07 03:37:22 +0000 2018,dulcero_ovando,"El día de hoy asistí a las instalaciones de la Comisión de Desarrollo Social y de Seguimiento al Cumplimiento de los Objetivos de Desarrollo Sustentable, que preside mi compañera Diputada... https://t.co/GFgqgxADsc",Dulce Rodríguez Ovando,"Pichucalco, Chiapas",,840,True ,Partido Verde Ecologista De México,CHIAPAS,DULCE MARIA RODRIGUEZ OVANDO,46
Thu Oct 08 04:42:52 +0000 2020,zairamontoyav,"Sorprendente y felicidades para ellos!, pero a la vez frustrante para mi, debido a que el gobierno de MÉXICO actual de @lopezobrador_ @PartidoMorenaMx , va en retroceso con la energía sustentable y tecnología. #impotenciayverguenza https://t.co/Fu5zuT50pt",Zaira Montoya,Estado Mexico,#ZairaMontoya,464,True ,Va Por Mexico,MÉXICO,ZAIRA TAIDE MONTOYA VALENZUELA,35
Tue May 25 01:48:39 +0000 2021,auguscarlos40,"Los efectos de la desertificación están vinculados a pobreza y a un impacto en el medio ambiente, por ello, legislaremos para consolidar programas que atiendan la reforestación y regeneración de especies arbóreas, así como la gestión de agua.  Por un Tlaxcala sustentable. 💪🏻 https://t.co/16nMXeFqd5",Carlos Augusto Pérez,"Tlaxcala, México","🤓Politólogo y servidor público con profundo amor a Tlaxcala❤️, a quien le he dedicado más de 20 años de trabajo por el bienestar de todos los tlaxcaltecas.🤗",74,False ,Morena,TLAXCALA,CARLOS AUGUSTO PEREZ HERNANDEZ,44
Wed May 12 04:33:47 +0000 2021,auguscarlos40,"¡Contaminación del río Atoyac, un malestar para Tlaxcala!  Amigos de Guadalupe Victoria, en #Tepetitla, expresaron su malestar para dar atención a la contaminación del río Atoyac. Por eso me he comprometido para que a través de una legislación federal sea posible sanear los ríos. https://t.co/W3b6U2e0se",Carlos Augusto Pérez,"Tlaxcala, México","🤓Politólogo y servidor público con profundo amor a Tlaxcala❤️, a quien le he dedicado más de 20 años de trabajo por el bienestar de todos los tlaxcaltecas.🤗",74,False ,Morena,TLAXCALA,CARLOS AUGUSTO PEREZ HERNANDEZ,44
Thu Apr 22 20:30:29 +0000 2021,carmenjoaquinmx,"El desinterés de éste gobierno en la política ambiental, sus megaobras y proyectos exponen la salud de los ciudadanos en plena pandemia, además de poner en peligro a la flora y fauna así como sus bosques, agua y calidad de su aire. La solución empieza con tu voto. #DíaDeLaTierra https://t.co/AhYlf05XuX",Carmen Joaquín,Caribe Mexicano,Empresaria. Mamá de 3. Quintanarroense 💛💙❤️ ExPresidente CPMX. Lic. en Admón. y Mtra. Comercio y Negocios Intl. Karateka y Pambolerísima. Sí Por México!,7775,False ,Partido De La Revolución Democrática,NACIONAL,MARIA DEL CARMEN JOAQUIN HERNANDEZ,46
