username,promedio_sentiment,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
armandocoronaa,1.0,Armando Corona Arvizu,"Ixtapaluca, México",Diputado Federal Electo Distrito 12.Trabajando por el medio ambiente y la Juventud❇ licenciado en Derecho.❤,127,True ,JUNTOS HACEMOS HISTORIA,MÉXICO,ARMANDO CORONA ARVIZU,25
armandoga26,1.0,Armando García Avendaño,"Ajalpan, Puebla",Diputado Local,1179,True ,VA POR MEXICO,PUEBLA,JOSE ARMANDO GARCIA AVENDAÑO,59
auguscarlos40,1.0,Carlos Augusto Pérez,"Tlaxcala, México","🤓Politólogo y servidor público con profundo amor a Tlaxcala❤️, a quien le he dedicado más de 20 años de trabajo por el bienestar de todos los tlaxcaltecas.🤗",74,False ,MORENA,TLAXCALA,CARLOS AUGUSTO PEREZ HERNANDEZ,44
blancaeppenc,1.0,Blanca Eppen Canales,"Torreón, Coahuila. México.","Diputada Local por el distrito X en @CongresoDeCoah, militante en @AccionNacional.",136,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,BLANCA EPPEN CANALES,71
castellomujeres,-1.0,Claudia Castello,,"Socióloga por la UNAM, Feminista y Demócrata. Integrante de Mujeres en Plural, 50+1 y Frente Feminista Nacional. Vicecoordinadora Nacional de Nueva Izquierda",2480,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,CLAUDIA CASTELLO REBOLLAR,48
cquintanamtz,1.0,Carlos quintana,"Morelia, Michoacán de Ocampo","Soy un enamorado de Morelia, de su historia y de su gente, Desde la función pública he luchado siempre para cambiar la historia de Michoacán",1302,True ,VA POR MEXICO,MICHOACÁN,CARLOS HUMBERTO QUINTANA MARTINEZ,41
cesaragustinh,1.0,César Agustín Hernández,"Chicoloapan, México",Sirvo a mi país 🇲🇽,401,False ,JUNTOS HACEMOS HISTORIA,MÉXICO,CESAR AGUSTIN HERNANDEZ PEREZ,41
chepi_org,0.0,Azael Santiago Chepi,"Oaxaca, México","Soy un hombre originario de la Sierra Norte de Oaxaca🏔️🗻, Diputado 👨🏾‍🏫 del Distrito Federal 04, con cabecera en Tlacolula de Matamoros.🙋‍♂️",4308,True ,JUNTOS HACEMOS HISTORIA,OAXACA,AZAEL SANTIAGO CHEPI,43
ciudadanochingn,0.0,Isauro Ali,"Puebla, México.","ARTISTA CHINGÓN / Candidato a Diputado Federal Distrito 09 🧡🏃‍♂️, campeón de barrios bax 🥊 🥇 🇲🇽",211,True ,MOVIMIENTO CIUDADANO,PUEBLA,ISAURO ALI LOPEZ GUTIERREZ,35
claunaval,-1.0,Claudia Nava S.,,"Mi pasión mi profesión,    Mi convicción la Educación.",21,False ,REDES SOCIALES PROGRESISTAS,NACIONAL,CLAUDIA LUCIA NAVA SERRANO,51
