username,Numero_tuits,score,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
g_quadri,79,100.0,Gabriel Quadri,México,"Ingeniero Civil, Economista, Ambientalista, Badmintonista, Necaxista, partidario de un México próspero, moderno, seguro y sustentable",265720,True ,VA POR MEXICO,CIUDAD DE MÉXICO,GABRIEL RICARDO QUADRI DE LA TORRE,66
ptnacionalmx,72,91.13924050632912,PT México,"Cuauhtémoc, Distrito Federal",,7390,False ,PARTIDO DEL TRABAJO,MÉXICO,ANNY XARENI VIEYRA CASTRO,32
lamelgar,36,45.56962025316456,Luis Armando Melgar,"Chiapas, México",Desde 2012 hemos trabajado para construir un #ChiapasProductivo y hoy nos sumamos para hacer juntos una nueva historia.,20369,True ,JUNTOS HACEMOS HISTORIA,CHIAPAS,LUIS ARMANDO MELGAR BRAVO,54
pepeestefang,31,39.24050632911392,Pepe Estefan G,"Ciudad Ixtepec, Oaxaca",Diputado Federal Electo por el Distrito 07 en #Oaxaca. Dirigente del @partidoverde_oa.,2450,True ,JUNTOS HACEMOS HISTORIA,OAXACA,JOSE ANTONIO ESTEFAN GILLESSEN,34
arturoboni,23,29.11392405063291,Arturo B de la Garza Garza,"Nuevo León, México",Diputado LXXV Legislatura 🇲🇽✌🏻♻️🌎🧡,670,False ,MOVIMIENTO CIUDADANO,NACIONAL,ARTURO BONIFACIO DE LA GARZA GARZA,33
manuel_rdgn,20,25.31645569620253,Manuel Rodríguez González,"Villahermosa, Tabasco. México","Abogado, político mexicano progresista; constructor, fundador y militante de Morena; comprometido con la 4T. Dip. Fed. Centro Tabasco; Pdte. Comisión de Energía",8138,True ,MORENA,TABASCO,MANUEL RODRIGUEZ GONZALEZ,54
maelenalimon_,19,24.050632911392405,María Elena Limón,San Pedro Tlaquepaque,"Soy una mujer orgullosamente de Tlaquepaque, lugar que me ha visto crecer. Así como tú, quiero un mejor lugar para vivir.",16057,False ,MOVIMIENTO CIUDADANO,NACIONAL,MARIA ELENA LIMON GARCIA,58
marcocarrt,19,24.050632911392405,Marco Carrasco,"San Juan Bautista Cuicatlán, O","Oaxaqueño, ingeniero, trabajo por mi comunidad, su patrimonio natural y el bienestar de su gente. Coordinador en @bioscuicatlan",970,True ,VA POR MEXICO,OAXACA,MARCO ARTURO CARRASCO TENA,25
catymonreal_,19,24.050632911392405,Caty Monreal,,Madre y esposa | Licenciada en Derecho y Maestra en Políticas Públicas | Activista y Luchadora Social | Feminista,1972,False ,FUERZA POR MÉXICO,NACIONAL,ELDAA CATALINA MONREAL PEREZ,34
martinesp_17,19,24.050632911392405,Juan Martín Espinoza Cárdenas,,"Diputado Federal Distrito 17, Jal. Electo 3 ocasiones Presidente Mpal. de La Manzanilla de la Paz, Jal. “Amar es entregar la vida entera”. #ServirlesDeCorazón",1299,True ,MOVIMIENTO CIUDADANO,JALISCO,JUAN MARTIN ESPINOZA CARDENAS,48
pvemtabasco,19,24.050632911392405,PVEMTABASCO,,,4303,True ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,TABASCO,IVAN FRANCISCO SANCHEZ ESPONDA,41
betovillamx,17,21.518987341772153,Alberto Villa,"Tonalá, Jalisco",Diputado Federal Reelecto por el Distrito 7 de Tonalá. #BetoVilla,1366,True ,JUNTOS HACEMOS HISTORIA,JALISCO,ALBERTO VILLA VILLEGAS,48
diegodelbosquev,16,20.253164556962027,Diego del Bosque,"Saltillo, Coahuila de Zaragoza",Ingeniero Agrónomo en Desarrollo Rural. Trabajaba de multiusos en un Bar de Saltillo.,28258,True ,JUNTOS HACEMOS HISTORIA,COAHUILA,DIEGO EDUARDO DEL BOSQUE VILLARREAL,31
manuelherrerav,15,18.9873417721519,Manuel Herrera Vega,"Jalisco, México","🇲🇽 Empresario orgullosamente mexicano, peleando por el país que soñamos todos.",17015,False ,MOVIMIENTO CIUDADANO,JALISCO,MANUEL JESUS HERRERA VEGA,49
cesaragustinh,14,17.72151898734177,César Agustín Hernández,"Chicoloapan, México",Sirvo a mi país 🇲🇽,401,False ,JUNTOS HACEMOS HISTORIA,MÉXICO,CESAR AGUSTIN HERNANDEZ PEREZ,41
wengonzalezu,14,17.72151898734177,Wendy Gonzalez,México,Candidata a Diputada Federal por el Distrito 3 de Azcapotzalco. Abogada egresada de la UNAM y maestra en derecho procesal penal.,5038,True ,VA POR MEXICO,CIUDAD DE MÉXICO,WENDY GONZALEZ URRUTIA,44
karrojodelavega,14,17.72151898734177,Karla Rojo de la Vega Mota Velasco,Miguel Hidalgo,Escritora y artista |Secretaria General Nacional de @FuerzaXMexico. Maestra en Administración Pública | Humanista #PolíticaConsciente,4283,True ,FUERZA POR MÉXICO,NACIONAL,KARLA ROJO DE LA VEGA MOTA VELASCO,36
marumucinom,12,15.18987341772152,María Eugenia Muciño Martínez,"Toluca, México",Regidora de Toluca. Promotora de la 4T,461,False ,JUNTOS HACEMOS HISTORIA,MÉXICO,MARIA EUGENIA MUCIÑO MARTINEZ,49
jccalymayor,11,13.924050632911392,Juan Carlos Cal y Mayor,"Tuxtla Gutiérrez, Chiapas",Construir ciudadanía puede salvar a México.,7687,True ,MOVIMIENTO CIUDADANO,CHIAPAS,JUAN CARLOS CAL Y MAYOR FRANCO,54
rosamarthamc,11,13.924050632911392,Rosa Martha Loría,México DF,"Política, Activista, Analista Político, Articulista y Consultora en Desarrollo y Agenda 2030",301,True ,MOVIMIENTO CIUDADANO,CIUDAD DE MÉXICO,ROSA MARTHA LORIA SAN MARTIN,56
marcosaguilar,11,13.924050632911392,Marcos Aguilar Vega,"Querétaro, Querétaro Arteaga","Ciudadano del mundo, sueño con un mundo verde.",31836,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,MARCOS AGUILAR VEGA,48
sylviagarfias,10,12.658227848101266,Sylvia Garfias,,"Apasionada de la vida, orgullosa madre de 3 ángeles. Diputada Federal LXIV Legislatura",4129,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,SYLVIA VIOLETA GARFIAS CEDILLO,46
marioarguezc,9,11.39240506329114,Mario Alberto Rodriguez Carrillo,"Zapopan, Jalisco",,1987,True ,MOVIMIENTO CIUDADANO,NACIONAL,MARIO ALBERTO RODRIGUEZ CARRILLO,54
chuyvaldesp,9,11.39240506329114,Chuy Valdés,"Culiacán, Sinaloa",Presidente del CDE PRI Sinaloa,65128,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,JESUS ANTONIO VALDES PALAZUELOS,42
gabygoldsmith,9,11.39240506329114,Gabriela Goldsmith,"México, D.F.",Enlace de Prevención del Delito/Dirección Gral. de Seguridad Ciudadana y T. M. de Naucalpan| C. a Dra. en IRS | Actriz,21856,True ,MORENA,MÉXICO,RUTH GABRIELA GOLDSCHMIED GUASCH,60
cristianhteczon,9,11.39240506329114,Cristian H. Teczon Viccon,"Coatepec, Veracruz de Ignacio ","Soy un hombre comprometido con mi tierra 🌎🐎🌳, trabajando día a día en el impulso al desarrollo sustentable de #Veracruz. 🤠 🇲🇽 👷🏽‍♂️ 🚧.#ADarle!!!",90,True ,REDES SOCIALES PROGRESISTAS,VERACRUZ,CRISTIAN HORACIO TECZON VICCON,51
irmajuancarlos,9,11.39240506329114,Irma Juan Carlos,Teotitlán de Flores Magón,"Teotitlán de Flores Magón, Oaxaca. #MORENA",6638,False ,MORENA,OAXACA,IRMA JUAN CARLOS,43
carmenbautistaz,8,10.126582278481013,Carmen Bautista Peláez,Santiago Pinotepa Nacional,Diputada Federal por el Distrito 09 Oaxaca. Mujer joven y comprometida con las y los oaxaqueños. #LaCostaEsMorena 🐚,1037,True ,JUNTOS HACEMOS HISTORIA,OAXACA,MARIA DEL CARMEN BAUTISTA PELAEZ,30
gabyevia,8,10.126582278481013,Gaby Evia,,Soy abogada y activista. Sueño con una revolución sostenible para Mexico 🌎 Secretaria de Medio Ambiente de @fuerzaxmexico,423,True ,FUERZA POR MÉXICO,NACIONAL,GABRIELA EVIA MUNGUIA,33
riultrivera,8,10.126582278481013,Riult Rivera,"Colima, México",Candidato a Diputado Federal por el Distrito 1 de la coalición Va Por México. Por un Colima de oportunidades. ¡Vamos juntos!,718,False ,VA POR MEXICO,COLIMA,RIULT RIVERA GUTIERREZ,39
nuriaghernandez,8,10.126582278481013,Nuria Gabriela Hernández Abarca,"Morelia, Michoacán de Ocampo","Abogada, feminista, maestra en ciencias penales y medicina legal forense.",355,False ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,NURIA GABRIELA HERNANDEZ ABARCA,45
polodominguez,8,10.126582278481013,POLO Domínguez,"Tepic, Nayarit. ","Esposo de Yolanda. Papá de María José, Polo y Alex. Abuelo de Santi y María Julia. Candidato a Diputado Federal por el Distrito 2 Tepic. Nayarit me mueve.",6688,True ,VA POR MEXICO,NAYARIT,LEOPOLDO DOMINGUEZ GONZALEZ,61
angelesgtzchih,8,10.126582278481013,Angeles Gutiérrez,"Hidalgo del Parral, Chihuahua",Candidata a la Diputación por el Noveno Distrito con la alianza Va por México.¡Nosotros podemos!,399,False ,VA POR MEXICO,CHIHUAHUA,MARIA DE LOS ANGELES GUTIERREZ VALDEZ,59
jorgerohe,8,10.126582278481013,Jorge Romero Herrera,,Diputado Federal del PAN y Vicecoordinador de mi Grupo Parlamentario en la LXIV Legislatura. A trabajar por México!,49017,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,JORGE ROMERO HERRERA,42
javier_hidalgo,7,8.860759493670885,Javier Hidalgo,Ciudad de México DF,Arquitecto Ciclista Morena de ♥️ Diputado Federal,18933,True ,JUNTOS HACEMOS HISTORIA,CIUDAD DE MÉXICO,JAVIER ARIEL HIDALGO PONCE,61
slvillavicencio,7,8.860759493670885,Lorena Villavicencio,Mexico,"Diputada Federal por Álvaro Obregón Distrito 16 CDMX, comprometida con los DDHH de todas las personas.",4170,True ,JUNTOS HACEMOS HISTORIA,CIUDAD DE MÉXICO,SILVIA LORENA VILLAVICENCIO AYALA,56
chavarosasmx,7,8.860759493670885,Chava Rosas,,Diputado Federal de Nuevo Laredo Tamaulipas,2175,True ,PARTIDO ACCIÓN NACIONAL,TAMAULIPAS,JOSE SALVADOR ROSAS QUINTANILLA,60
irmateranv,7,8.860759493670885,Irma Teran,"Sonora, México",Diputada Federal del Partido Encuentro Social en la LXIV Legislatura #SonoraTeAmo 💜,4717,True ,PARTIDO ENCUENTRO SOLIDARIO,NACIONAL,IRMA MARIA TERAN VILLALOBOS,35
pp_toriello,7,8.860759493670885,Jose A. Toriello,"Tapachula, Chiapas, Mexico",CEO Grupo Toriello,509,True ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,CHIAPAS,JOSE ANTONIO DE JESUS TORIELLO ELORZA,60
fertorresgto,7,8.860759493670885,Fernando Torres G.,"León, Guanajuato","Diputado Federal. Padre, esposo y panista guanajuatense. Cuenta oficial.",14143,True ,PARTIDO ACCIÓN NACIONAL,GUANAJUATO,FERNANDO TORRES GRACIANO,50
chertorivski,7,8.860759493670885,Salomón Chertorivski,México,Papá de Sofía y Victoria. Esposo de Yona. Sí hay opción.,106913,True ,MOVIMIENTO CIUDADANO,CIUDAD DE MÉXICO,SALOMON CHERTORIVSKI WOLDENBERG,46
miguelsamanop,7,8.860759493670885,Miguel Sámano,,Político. Diputado Federal Electo por el Distrito 1 del Estado de México,9273,True ,VA POR MEXICO,MÉXICO,MIGUEL SAMANO PERALTA,55
yadiramarcossin,7,8.860759493670885,Yadira Marcos,"Culiacán, Sinaloa",Diputada Federal por morena del Distrito 05 de Sinaloa. Coordinadora de Diputados Federales Morena Sinaloa #MayoríaDelPueblo 🇲🇽,2776,True ,JUNTOS HACEMOS HISTORIA,SINALOA,NANCY YADIRA SANTIAGO MARCOS,41
maribelmruiz,7,8.860759493670885,Maribel Martínez,"Oaxaca de Juárez, Oaxaca","Diputada Federal por la tercera circunscripción. Mamá de Victoria, Valeria y Luis Alonso. Enamorada de mi familia. #Oaxaca es mi casa. #MujerDeTrabajo",2765,True ,PARTIDO DEL TRABAJO,NACIONAL,MARIBEL MARTINEZ RUIZ,48
pedro_matar,7,8.860759493670885,Pedro Matar,,,2503,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,SADER PEDRO MATAR ORRACA,49
pablogamboa_mx,7,8.860759493670885,Pablo Gamboa Miner,"Mérida, Yucatán.",,13669,False ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,YUCATÁN,PABLO GAMBOA MINER,35
_castillohector,7,8.860759493670885,Héctor Castillo,,"Alcalde en funciones por reelección y Diputado Federal Electo por el Distrito 1, Santa Catarina & San Pedro.",4386,True ,PARTIDO ACCIÓN NACIONAL,NUEVO LEÓN,HECTOR ISRAEL CASTILLO OLIVARES,46
braguaarturo,6,7.59493670886076,Arturo Bravo Guadarrama,"Guanajuato, Capital","Arturo Bravo Guadarrama, Arquitecto de formación, dedicado a la política, con visión de Izquierda.",543,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,ARTURO BRAVO GUADARRAMA,50
afdezdg,6,7.59493670886076,Arturo Fernández Díaz-González,,"Candidato a Diputado Federal por el Distrito 3, Sonora. Ex Presidente COPARMEX SONORA, Empresario, Consejero Patrimonial, Grupo GEMSO y Grupo HELIOS.",2739,False ,VA POR MEXICO,SONORA,ARTURO FERNANDEZ DIAZ GONZALEZ,50
wzuloag,6,7.59493670886076,Wendy BriceñoZuloaga,"Hermosillo, Sonora. ",Diputada Federal Electa por el Distrito 5 #Sonora con #MORENA y Coalición #JuntxsHacemosHistoria #AÚNAsomos https://t.co/PJ8iH3cagW #CaminaConmigo,12144,True ,JUNTOS HACEMOS HISTORIA,SONORA,MARIA WENDY BRICEÑO ZULOAGA,42
yoladelatorre,6,7.59493670886076,Yolanda de la Torre,México,"Magistrada TSJED. Senadora de la República LXIII Leg. Dip Federal LXI y LXIII Leg. Orgullosamente duranguense, comprometida con los #DerechosHumanos y la #Niñez",8498,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,YOLANDA DE LA TORRE VALDEZ,57
jahfraguas,6,7.59493670886076,Toño Hernández Fraguas,"Oaxaca de Juárez, Oaxaca",Orgulloso oaxaqueño.,13121,True ,VA POR MEXICO,OAXACA,JOSE ANTONIO HERNANDEZ FRAGUAS,63
jcromerohicks,6,7.59493670886076,Juan C. Romero Hicks,"Guanajuato, México","Orgulloso guanajuatense. Diputado Federal. Coordinador de @diputadospan. Fui rector de la UG, gobernador de mi estado, director del Conacyt y senador.",67265,True ,PARTIDO ACCIÓN NACIONAL,GUANAJUATO,JUAN CARLOS ROMERO HICKS,65
enriqueaubry,6,7.59493670886076,Enrique Aubry,"Jalisco, Mexico",Secretario General del Partido Verde Ecologista de México en Jalisco.,13161,True ,JUNTOS HACEMOS HISTORIA,JALISCO,ENRIQUE AUBRY DE CASTRO PALOMINO,38
maite_vargasm,6,7.59493670886076,Maite Vargas Meraz,"Chihuahua, México",Comprometida con mi país y el bienestar de los mexicanos. Orgullosamente originaria de Chihuahua. #CentauroParaElMundo 🌎🙋🏻‍♀️,1522,True ,JUNTOS HACEMOS HISTORIA,CHIHUAHUA,TERESITA DE JESUS VARGAS MERAZ,31
alejandrorobmx,6,7.59493670886076,Alejandro Robles,"Ontario, CA",Migrante y militante.,4264,True ,MORENA,NACIONAL,MANUEL ALEJANDRO ROBLES GOMEZ,38
mirzafloresg,6,7.59493670886076,Mirza Flores,"Jalisco, México",De arriba pa' abajo #TrabajandoSinDescanso por Zapopan y Jalisco. El futuro será feminista o no será. Diputada Ciudadana.,11985,True ,MOVIMIENTO CIUDADANO,NACIONAL,MIRZA FLORES GOMEZ,47
