usuario	tuit_es	tuit_en	sentiment	emoji
 molanomx	" La movilidad sustentable, moderna y segura es un distintivo importante  de ciudades con calidad de vida. ¡Todo es posible!  #NoBajesLaGuardia https://t.co/k5vlLmzzZ8
"	"Sustainable, modern and safe mobility is an important hallmark of cities with quality of life. Everything is possible! #NoBajesLaGuardia https://t.co/k5vlLmzzZ8
"	1	😀
 molanomx	" Alcanzar el desarrollo sostenible, requiere de la participación de toda la sociedad. Estoy seguro que el gobernador @rutilioescandon y su equipo encabezarán, con pasión y entrega, este esfuerzo conjunto que deberá llevar a Chiapas al sitio de privilegio que merece. ¡Felicidades!
"	"Achieving sustainable development requires the participation of the entire society. I am sure that the governor @rutilioescandon and his team will lead, with passion and dedication, this joint effort that should take Chiapas to the place of privilege it deserves. Congratulations!
"	1	😀
 mnelav	" ¡Qué gran día del niño! 👧🧒 Estuvo muy movido; caminamos mucho, pegó duro el calor y ¡hasta nos llovió! Nada nos detuvo por que el ánimo de la gente es, sin duda, el mayor motivador 🟡🔴🔵 ¡Muchas gracias #Soledad! #VaXMéxico https://t.co/wgWnJch6A4
"	"What a great children's day! 👧🧒 He was very moved; We walked a lot, he hit the heat hard and even he rained on us! Nothing stopped us because the mood of the people is, without a doubt, the greatest motivator 🟡🔴🔵 Thank you very much #Soledad! # VaXMéxico https://t.co/wgWnJch6A4
"	1	😀
 javierperezMC	" Las malas decisiones están acabando con nuestro futuro, necesitamos más espacios verdes y cuidar la #naturaleza🍊 ¡Más #árboles y menos cemento! Estuve en jornada de reforestación en Tierra Colorada. ¡Menos palabras y más acciones! https://t.co/MsRKlxbmGd
"	"Bad decisions are destroying our future, we need more green spaces and take care of # nature🍊 More # trees and less cement! I was in a reforestation day in Tierra Colorada. Less words and more actions! https://t.co/MsRKlxbmGd
"	-1	😠
 javierperezMC	" ¿Qué tal el calor de nuestra tierra tabasqueña? ¿Ya tomaron su #pozol? #Tabasco🍊 https://t.co/9UVybWDgeg
"	"How about the heat of our Tabasco land? Have you already had your #pozol? # Tabasco🍊 https://t.co/9UVybWDgeg
"	0	😐
 javierperezMC	" Un gusto platicar con @emiliovazquez_ y @karla_garciat1 activista que representa a #Tabasco en la iniciativa de @escazuahora_mx.  Compartimos ideas, escuchamos y debatimos sobre el cambio climático, el desarrollo sostenible y la conservación regional del #MedioAmbiente🍊 https://t.co/s5Otx2Y8zf
"	"A pleasure to talk with @emiliovazquez_ and @ karla_garciat1 activist who represents #Tabasco in the @escazuahora_mx initiative. We share ideas, listen and debate on climate change, sustainable development and regional conservation of the # MedioAmbiente🍊 https://t.co/s5Otx2Y8zf
"	1	😀
 javierperezMC	" Intenso el calor pero más intenso es el cariño de la gente que nos recibe con una #sonrisa, nos recibe con esperanza de que con #trabajo y #juventud saldremos adelante ¡Si hay otra opción #MovimientoCiudadano 🍊🍊🍊🍊 https://t.co/ZLX5AxE1Dz
"	"The heat is intense but more intense is the affection of the people who receive us with a #smile, they welcome us with the hope that with #work and #juventud we will get ahead! If there is another option #MovimientoCiudadano 🍊🍊🍊🍊 https: // t .co / ZLX5AxE1Dz
"	1	😀
 DulceRo_Ovando	" El Tren Maya es un proyecto importante para #Chiapas y México, conocer de cerca su impacto en desarrollo económico, ambiental y cultural es tarea de todas y todos, con este objetivo, asistí en #Palenque, Chiapas al Foro Legislativo Académico de la Frontera Sur. #DulceRodríguez https://t.co/0G57hmBTLx
"	"The Mayan Train is an important project for #Chiapas and Mexico, to know closely its impact on economic, environmental and cultural development is everyone's task, with this objective, I attended the Academic Legislative Forum of the Southern Border in #Palenque, Chiapas . # DulceRodríguez https://t.co/0G57hmBTLx
"	1	😀
 DulceRo_Ovando	" El día de hoy tuve el honor de asistir a la Primera Jornada Nacional de Derechos Humanos, acciones que impulsan los Objetivos de Desarrollo Sostenible 2030, que organizó el Instituto de... https://t.co/9P5kY3k9Zg
"	"Today I had the honor of attending the First National Human Rights Day, actions that promote the 2030 Sustainable Development Goals, organized by the Institute of ... https://t.co/9P5kY3k9Zg
"	1	😀
 DulceRo_Ovando	" El día de hoy asistí a las instalaciones de la Comisión de Desarrollo Social y de Seguimiento al Cumplimiento de los Objetivos de Desarrollo Sustentable, que preside mi compañera Diputada... https://t.co/GFgqgxADsc
"	"Today I attended the facilities of the Commission for Social Development and Monitoring of Compliance with Sustainable Development Goals, chaired by my colleague Deputy ... https://t.co/GFgqgxADsc
"	0	😐
